rok;okr;hhPO;maxPO;topPO;max3PO;top3PO;max6PO;top6PO;cum90PO;hhPSL;maxPSL;topPSL;max3PSL;top3PSL;max6PSL;top6PSL;cum90PSL;hhPiS;maxPiS;topPiS;max3PiS;top3PiS;max6PiS;top6PiS;cum90PiS;hhSLD;maxSLD;topSLD;max3SLD;top3SLD;max6SLD;top6SLD;cum90SLD;
2005;01;1061.8;21.7;21.7;44.9;44.6;70.1;60.8;11;2271.6;43.8;43.8;66.8;66.8;79.0;76.7;12;1105.1;25.5;25.5;47.6;42.3;66.8;65.0;15;2953.6;48.0;48.0;79.1;72.7;91.0;91.0;6;
2005;02;1795.7;37.0;37.0;58.6;54.3;77.0;74.3;10;2936.4;51.4;51.4;69.4;63.1;85.4;78.2;8;1236.9;22.8;22.8;50.4;50.4;69.2;64.6;11;2338.9;36.5;23.2;77.5;66.7;96.1;95.0;5;
2005;03;3659.2;58.9;58.9;74.6;73.5;84.3;84.3;10;1070.4;25.9;25.9;44.2;41.9;64.2;60.5;15;2498.0;46.9;46.9;66.8;64.4;80.6;75.0;12;2017.8;39.1;39.1;65.5;65.5;81.7;79.8;11;
2005;04;1399.5;28.2;28.2;54.5;47.4;78.5;71.0;11;1937.9;39.9;39.9;60.1;59.7;76.3;74.0;13;1253.7;24.3;24.3;56.4;56.4;72.8;72.8;15;4164.9;63.3;63.3;78.6;73.1;87.7;81.9;7;
2005;05;1317.4;26.8;26.8;53.8;53.8;72.8;67.3;12;1258.0;29.5;29.5;49.0;37.1;67.2;51.3;15;1162.5;25.1;25.1;49.7;47.8;71.9;71.9;15;1551.9;32.0;17.3;58.7;56.3;75.1;66.5;14;
2005;06;1894.1;38.9;38.9;60.0;58.6;77.4;70.6;13;788.3;17.8;17.8;37.4;36.1;59.7;49.6;17;1121.5;27.9;27.9;45.7;42.4;61.0;58.4;17;1757.3;30.2;26.4;64.1;64.1;76.4;73.3;15;
2005;07;996.0;23.3;23.3;43.4;42.1;61.9;58.4;15;841.8;15.7;12.9;38.8;29.0;63.2;55.2;14;1055.2;24.6;24.6;45.9;45.9;65.5;60.4;15;1236.7;26.6;26.6;48.7;48.7;73.7;71.9;12;
2005;08;1154.1;24.3;24.3;50.5;43.5;69.7;58.4;15;2207.7;44.7;44.7;56.6;56.6;71.1;66.4;13;1423.2;31.3;31.3;53.4;47.1;71.8;66.6;13;1094.9;17.7;16.9;48.7;35.2;73.2;62.4;14;
2005;09;1674.6;32.4;32.4;64.2;64.2;79.9;76.0;11;1144.3;18.9;18.9;51.9;47.5;72.3;57.3;12;1400.0;27.5;27.5;58.0;49.6;73.6;71.6;12;1578.1;30.0;30.0;60.0;56.9;82.3;74.8;9;
2005;10;2538.4;47.4;47.4;65.2;65.2;81.9;77.6;10;1633.3;34.3;34.3;57.1;57.1;74.3;69.5;12;1706.5;35.7;35.7;58.6;58.6;75.6;66.4;11;1405.9;28.2;28.2;53.9;46.9;78.8;73.0;10;
2005;11;1572.8;31.9;31.9;59.3;59.3;77.9;77.9;10;789.7;17.4;17.4;36.5;34.5;58.8;56.0;15;912.6;22.9;22.9;39.5;34.3;59.1;57.8;16;5553.1;73.8;73.8;86.3;86.3;92.7;91.6;5;
2005;12;1231.1;27.2;27.2;48.1;45.9;70.0;64.9;12;1668.5;35.2;35.2;52.5;50.2;74.2;71.8;9;1168.1;20.7;18.1;52.4;52.4;72.0;66.6;11;2437.9;45.3;45.3;67.5;67.5;84.9;78.7;8;
2005;13;3314.3;56.2;56.2;67.3;64.6;80.7;72.2;10;1436.3;25.8;25.8;59.5;44.7;78.3;53.6;11;5999.0;76.7;76.7;88.9;88.7;93.0;91.9;4;2446.0;33.7;33.7;80.5;68.4;86.9;86.5;8;
2005;14;1416.7;25.3;25.3;56.6;54.8;78.7;69.6;10;1557.0;27.5;27.5;62.6;62.5;82.6;74.2;9;888.1;13.0;13.0;35.1;33.0;65.3;63.4;11;3072.2;51.0;51.0;75.3;75.3;87.2;84.4;7;
2005;15;1363.1;30.3;30.3;51.1;51.1;70.6;69.8;12;2347.9;42.4;42.4;68.9;67.7;85.8;80.4;8;1029.1;17.7;16.5;46.0;42.5;70.5;67.9;12;5449.1;73.3;73.3;81.3;79.1;89.5;85.8;7;
2005;16;1438.3;24.9;24.9;59.2;51.3;77.8;61.9;10;1615.6;36.2;36.2;49.8;49.8;67.7;63.3;13;1149.0;26.9;26.9;46.0;46.0;67.2;64.6;14;1878.6;35.4;35.4;63.6;60.3;84.2;75.0;8;
2005;17;2096.8;42.6;42.6;58.2;55.4;73.4;73.1;11;1058.3;23.3;10.1;44.6;29.0;66.3;47.7;12;1180.7;20.9;20.9;52.8;41.8;72.5;65.6;11;2363.4;38.9;38.9;77.1;77.1;87.8;85.8;8;
2005;18;1409.2;26.5;26.5;55.9;39.3;73.6;72.7;13;1552.8;32.7;32.7;55.6;53.6;77.6;77.6;11;1083.9;19.5;19.5;50.3;50.3;67.6;67.3;15;1783.9;35.6;35.6;59.5;47.8;77.1;77.1;10;
2005;19;3335.4;54.8;54.8;78.0;62.9;84.3;67.8;11;1805.5;40.1;40.1;53.9;53.9;63.7;59.5;23;5712.2;75.3;75.3;81.2;81.2;86.1;84.3;11;2804.1;41.2;41.2;84.8;72.4;89.2;76.6;7;
2005;20;2509.1;47.2;47.2;65.9;64.3;78.2;76.4;12;2542.2;47.4;47.4;66.4;66.4;78.4;75.3;11;1743.5;38.2;38.2;54.6;52.7;69.4;65.2;14;2218.8;39.3;39.3;68.6;67.4;83.0;78.8;8;
2005;21;1218.0;22.0;22.0;51.0;49.0;78.3;73.8;11;816.6;17.1;17.1;40.6;38.2;59.9;50.3;17;1401.5;32.7;32.7;50.8;47.5;67.8;62.7;16;1356.2;27.1;27.1;54.9;49.7;74.5;69.3;13;
2005;22;1581.2;33.6;33.6;56.7;55.5;76.0;74.5;12;1431.1;29.8;29.8;55.8;55.8;74.3;70.7;11;1265.9;27.3;17.4;51.4;48.6;67.4;61.5;14;1547.2;26.5;26.5;60.0;47.0;84.0;81.7;9;
2005;23;1157.0;25.2;25.2;53.0;53.1;66.5;65.0;17;1498.0;29.2;29.2;58.9;51.5;74.9;66.2;14;598.6;11.0;10.8;30.8;20.5;49.3;45.0;18;1774.3;35.5;35.5;62.7;58.6;78.7;78.7;12;
2005;24;1127.4;25.1;25.1;50.4;48.0;67.3;57.1;17;936.4;18.3;10.8;45.4;34.6;63.4;59.2;14;2306.2;43.7;43.7;67.0;66.2;80.1;76.4;13;1913.0;33.4;26.0;64.6;64.0;79.5;76.2;13;
2005;25;3484.2;57.0;57.0;74.4;66.3;86.4;78.0;8;1461.3;25.8;25.8;59.9;39.6;82.1;76.2;9;1709.3;29.5;26.2;62.1;62.1;76.1;73.5;13;2583.2;40.8;40.8;79.2;79.2;92.2;91.6;5;
2005;26;1496.9;34.2;34.2;49.7;48.3;68.4;65.5;14;1621.5;28.0;28.0;63.1;63.1;79.7;75.0;9;1048.7;20.5;20.5;46.7;43.5;67.0;62.8;14;1807.3;28.8;28.8;67.2;63.4;87.2;85.1;7;
2005;27;1673.2;33.2;33.2;60.5;60.5;78.5;76.8;11;1225.5;28.9;28.9;44.8;41.2;64.1;62.0;12;1392.9;30.8;30.8;51.9;48.9;71.9;71.9;12;1692.5;32.7;32.7;59.1;58.4;83.7;81.0;9;
2005;28;1443.7;24.9;24.9;56.9;56.9;79.3;73.5;9;2270.6;42.4;42.4;68.8;59.7;83.8;73.4;8;1521.4;31.2;31.2;56.8;56.8;76.3;73.6;9;1781.6;31.1;31.1;64.0;62.7;82.5;76.6;8;
2005;29;996.2;21.0;21.0;42.6;40.0;65.9;55.7;12;889.6;16.5;16.5;40.7;40.7;62.5;57.5;12;956.8;20.9;20.9;43.2;40.8;61.7;60.7;13;2153.4;41.9;41.9;66.3;66.3;78.8;77.9;11;
2005;30;857.8;14.8;14.8;36.1;31.7;62.1;58.3;12;1108.8;26.4;26.4;43.3;35.9;62.9;54.3;13;1503.8;33.9;33.9;51.8;51.8;68.0;67.2;13;3020.5;51.5;51.5;75.1;70.9;86.5;77.6;8;
2005;31;2606.0;48.2;48.2;66.1;65.3;81.2;79.4;10;1521.5;31.9;31.9;55.5;41.1;68.0;52.0;15;1801.5;37.9;37.9;57.3;57.3;76.9;72.9;12;1863.3;38.8;38.8;56.7;56.7;75.5;75.5;10;
2005;32;1256.9;21.1;21.1;52.1;50.9;79.3;74.6;10;1326.6;26.1;20.2;54.9;52.0;71.0;66.5;13;1376.0;32.2;32.2;47.8;47.8;64.0;63.7;13;1068.7;22.0;22.0;45.2;45.2;69.3;63.5;11;
2005;33;1110.3;25.8;25.8;48.5;45.7;63.6;57.1;19;625.1;13.0;9.6;32.4;29.2;51.3;46.7;19;1499.8;36.1;36.1;47.7;46.9;60.1;57.6;20;1306.3;28.1;28.1;48.8;46.2;73.1;68.7;10;
2005;34;1423.3;27.5;27.5;55.6;53.4;80.7;80.7;9;1275.6;23.6;23.6;51.9;43.5;77.7;69.2;9;1065.5;21.4;21.4;45.2;37.5;70.2;60.9;12;2853.1;46.9;46.9;75.4;75.2;88.3;84.9;7;
2005;35;1504.7;25.4;25.4;60.5;54.3;75.6;69.4;11;871.5;14.6;14.0;39.0;36.7;65.3;61.3;13;1978.1;40.8;40.8;60.1;57.5;74.1;74.1;12;2359.0;33.0;31.9;79.5;79.5;87.4;83.9;8;
2005;36;1049.0;21.5;13.3;46.9;46.9;70.1;62.6;13;1172.2;25.8;25.8;48.6;47.6;69.2;65.6;13;1059.5;22.6;22.6;48.0;41.0;67.0;58.8;13;1520.0;25.0;22.5;62.8;57.0;79.9;76.8;11;
2005;37;1158.5;23.3;23.3;50.8;50.8;69.8;67.5;12;1369.0;23.3;23.3;58.2;52.7;75.4;64.8;11;1370.3;25.6;25.6;53.6;53.5;67.4;66.5;13;2551.5;42.9;42.9;73.3;69.0;87.4;84.7;7;
2005;38;2623.6;49.1;49.1;61.4;58.8;76.6;72.7;11;1787.7;37.1;37.1;59.6;51.8;75.6;70.2;11;1229.5;28.2;28.2;46.1;43.2;67.1;64.4;12;1491.6;28.7;28.7;57.6;53.4;80.9;65.6;9;
2005;39;2539.1;47.4;47.4;66.9;64.4;80.2;73.2;11;1458.4;28.1;28.1;56.4;46.4;79.8;76.2;10;1534.4;23.1;22.4;61.9;42.8;85.3;75.6;8;3985.8;58.3;58.3;86.3;84.7;94.0;87.9;5;
2005;40;1364.6;25.6;20.6;53.9;53.9;72.9;72.9;10;1348.7;28.7;28.7;52.1;44.0;71.8;68.0;10;1536.0;30.1;30.1;57.9;54.7;79.2;76.9;10;1839.9;36.5;36.5;60.4;57.8;83.5;79.7;9;
2005;41;1225.7;26.2;26.2;51.6;49.9;70.2;61.0;14;1015.5;25.0;25.0;42.5;32.3;59.7;51.2;14;867.5;20.6;20.6;41.3;36.1;60.2;57.3;17;2536.4;37.8;37.8;75.5;75.5;85.0;83.5;9;
2007;01;1391.9;31.3;31.3;51.6;50.9;70.4;70.4;13;1033.1;18.7;15.9;51.4;39.9;65.5;52.7;15;1190.7;27.6;27.6;47.2;45.3;67.8;67.3;14;3781.5;59.0;59.0;79.1;76.3;87.6;85.1;8;
2007;02;2352.3;44.6;44.6;65.1;65.1;82.8;82.8;9;2321.8;45.0;45.0;63.5;63.5;77.6;74.1;11;1466.9;30.5;30.5;54.2;40.7;71.7;66.3;11;1526.1;23.6;23.6;64.4;48.6;79.8;78.1;10;
2007;03;5284.0;72.3;72.3;80.0;78.9;86.5;84.9;9;751.6;18.3;18.3;39.0;39.0;54.3;52.9;18;2516.2;46.5;46.5;69.7;69.7;81.3;81.3;13;1716.0;37.2;37.2;58.3;58.3;72.3;69.5;16;
2007;04;4155.3;63.5;63.5;75.0;75.0;85.9;83.9;9;1530.6;35.6;35.6;48.9;48.5;65.6;60.2;16;1851.3;37.1;37.1;62.6;62.6;76.3;74.8;13;3027.9;53.2;53.2;68.9;67.3;79.6;70.9;12;
2007;05;1598.4;27.3;27.3;62.5;61.6;81.1;81.1;12;952.4;16.9;16.9;46.2;41.2;67.2;58.1;16;1512.3;27.4;27.4;63.0;63.0;76.3;75.5;14;1527.5;30.4;30.4;58.0;50.3;79.6;73.1;11;
2007;06;1444.1;29.9;29.9;55.5;47.4;77.2;65.2;12;751.9;14.5;13.3;37.8;35.7;60.0;57.8;18;1084.0;25.7;25.7;45.0;41.4;63.6;62.8;14;2832.9;47.2;23.3;74.5;72.4;83.5;81.1;11;
2007;07;960.3;20.8;20.8;44.0;42.3;66.9;66.9;16;856.0;19.5;19.5;38.7;38.7;59.7;57.0;15;863.1;15.6;15.6;38.9;32.0;64.1;56.6;13;1526.5;28.0;22.6;61.3;61.3;75.6;71.0;14;
2007;08;1801.7;37.3;37.3;60.1;60.1;74.8;70.5;13;3278.4;56.1;56.1;66.7;62.7;76.5;72.3;13;1432.2;23.9;23.9;59.5;59.5;81.1;80.0;10;1275.2;25.9;25.9;54.9;46.6;72.8;70.3;13;
2007;09;1645.6;23.1;23.0;63.6;60.9;86.6;85.3;8;992.9;22.8;22.8;45.3;30.8;62.8;51.8;14;1867.1;35.0;35.0;67.7;67.7;76.8;76.6;13;4887.4;69.0;69.0;81.1;78.6;90.9;90.6;6;
2007;10;2165.6;41.1;41.1;64.9;64.4;84.9;84.0;9;1198.6;21.5;21.5;53.3;53.3;69.7;67.5;12;1539.1;33.1;33.1;54.0;54.0;73.9;69.6;10;1765.5;36.4;36.4;59.0;55.5;78.9;75.8;10;
2007;11;1365.5;31.1;31.1;51.1;51.1;68.9;63.9;15;890.3;17.1;15.5;42.9;37.3;64.3;59.6;16;1120.9;26.6;26.6;46.6;46.6;64.1;61.4;14;2067.4;42.3;42.3;58.7;57.1;75.2;68.2;13;
2007;12;1811.9;36.7;36.7;57.6;55.8;82.3;78.3;9;1160.7;25.5;25.5;48.1;43.6;67.3;62.9;12;1399.8;24.2;24.2;58.1;58.1;78.8;77.6;10;2067.4;38.8;38.8;65.4;64.1;82.5;82.4;9;
2007;13;3795.7;60.4;60.4;72.2;72.0;84.9;82.6;9;1552.6;35.5;35.5;53.6;50.3;66.7;61.7;16;7284.4;85.2;85.2;90.8;90.8;94.6;93.8;3;2531.5;46.0;46.0;66.5;58.3;88.8;80.1;7;
2007;14;1480.9;28.8;28.8;57.5;51.7;78.3;75.9;10;1394.1;28.6;28.6;55.5;55.5;76.4;73.6;11;1421.5;31.3;31.3;51.4;51.4;71.5;66.6;11;3256.1;55.0;55.0;71.3;70.3;81.5;77.4;10;
2007;15;1516.7;32.9;32.9;53.0;49.0;75.0;67.6;11;2123.3;42.3;42.3;61.1;60.0;78.2;74.7;11;963.5;16.9;16.9;41.3;41.3;68.4;66.0;11;2754.8;47.7;19.6;72.3;72.2;84.1;80.2;9;
2007;16;2614.3;47.0;47.0;71.7;71.7;84.9;83.5;9;2029.4;40.5;40.5;61.5;61.5;75.1;70.2;12;1236.1;28.1;28.1;50.0;50.0;66.6;66.5;13;3737.3;59.5;59.5;76.4;73.6;86.5;84.3;9;
2007;17;2639.1;48.7;48.7;67.4;67.4;79.7;77.5;11;1221.4;27.1;14.1;49.8;49.8;68.3;67.6;13;1112.6;24.2;24.2;48.2;38.6;67.4;59.9;13;2643.0;48.3;48.3;68.7;68.7;81.1;78.1;10;
2007;18;1701.4;36.3;36.3;57.7;57.7;74.1;70.5;12;1833.8;36.4;36.4;63.0;63.0;80.3;79.9;10;1039.8;21.2;21.2;49.3;49.3;66.8;66.7;15;1785.8;39.3;39.3;52.5;47.8;66.1;65.3;14;
2007;19;7462.4;86.3;86.3;89.6;89.0;92.6;92.0;4;1427.1;32.3;32.3;56.4;49.2;66.9;58.4;22;7466.4;86.3;86.3;89.8;88.9;92.9;92.5;4;3486.9;52.0;52.0;85.5;80.1;94.9;87.5;4;
2007;20;4572.4;67.0;67.0;75.8;75.7;85.3;83.6;9;1527.9;34.9;34.9;50.0;49.7;68.0;65.0;13;2706.1;49.8;49.8;65.4;65.4;78.9;75.0;11;2914.3;52.1;52.1;67.1;62.7;78.4;75.8;11;
2007;21;1034.5;20.9;20.9;47.6;46.1;69.0;59.6;15;1173.5;29.3;29.3;45.4;45.4;62.2;57.7;18;1068.4;21.8;21.8;48.5;45.5;69.8;63.4;14;1483.7;33.1;33.1;54.0;50.7;71.7;64.4;14;
2007;22;1153.6;25.9;25.9;47.4;43.8;69.8;61.5;13;1266.8;24.1;24.1;56.4;56.4;71.0;70.8;13;1308.8;24.0;24.0;54.9;51.4;69.9;69.2;13;1755.6;36.2;36.2;61.2;53.1;75.9;72.4;12;
2007;23;1286.3;24.6;21.0;54.1;54.1;72.7;65.3;15;1840.5;39.1;39.1;59.3;59.3;72.1;71.2;17;754.6;16.3;12.2;37.5;32.2;57.3;55.4;17;1664.5;35.2;35.2;58.5;50.9;75.1;61.9;14;
2007;24;818.6;20.8;20.8;38.0;31.7;55.7;45.9;18;1267.6;28.0;28.0;53.2;41.6;68.3;63.2;17;1470.1;30.0;30.0;57.9;57.9;77.8;75.4;12;1674.7;30.6;30.6;61.4;49.8;84.4;78.7;9;
2007;25;1413.9;25.6;25.6;56.8;38.5;70.9;50.3;13;1241.0;30.4;30.4;48.6;43.2;61.1;50.2;17;2652.7;45.6;45.6;77.9;77.9;86.9;84.0;8;1541.8;24.9;24.9;61.5;54.3;85.3;85.3;8;
2007;26;1346.7;32.7;32.7;47.1;45.6;62.3;61.0;17;738.3;16.6;16.6;36.8;34.0;56.7;43.9;18;1657.2;35.9;35.9;56.7;56.7;71.8;71.2;15;2309.5;40.2;40.2;70.9;70.9;83.1;77.2;9;
