PERIOD,CONS,CONSI,INW,POPKR,PKB,PKBcb,GVA,GVAP,GVABcb,ZP,ZPP,IPPB,IPPPB,CPIB,PPIB,PPIBPP,EKSPB,ZAPRZ,ZAPPP,NALPRZ,NALPP,WFBP,WFBPP,PRZSP,PRZSPP
1995Q1,59912.2,45121.5,10661.4,71549.9,74528.5,74528.5,65126,19870.9,3476.0,3233.3,2592.3,97.7,96.9,108,107.2,107.2,98.3,21341.9,19055.8,31023.7,20291.9,3889.2,2245.5,53765.3,37367.5
1995Q2,64979.3,48043.4,12160.7,78077.5,79694.6,79694.6,69462,20791.3,4753.3,3230.0,2598.3,100.8,105.4,105.7,103.5,104.6,105.9,23350.1,20658.9,31241.7,21340.9,3051.5,2719.4,55114.7,41344.9
1995Q3,66924.5,50482.4,14488.8,82258.5,84836.2,84836.2,73756,21816.5,5452.6,3224.0,2599.0,103.2,104.9,101.5,103.8,103.5,105.0,25358.3,22262,31459.7,22389.9,3291.8,2827.3,58505.7,44461.8
1995Q4,69809.8,52603.4,20093.7,90444.5,90507.8,90507.8,78509,22584.2,6760.0,3241.0,2613.0,106.6,104.5,105.3,103.9,103.7,101.5,26704.2,23962.2,32443.5,22099.1,1664.0,641.0,64735.9,47316.3
1996Q1,67969.0,51855.3,11368.1,80375.3,80552.0,91516.6,70181,21891.2,3785.3,3209.3,2587.7,97.1,89.4,106.8,102.6,102.1,99.2,27821.1,25351.7,36604.5,25305.7,3786.5,2470.9,67002.1,46467.4
1996Q2,67868.0,51742.5,16656.7,85604.1,86423.5,99630.1,74679,22245.5,5874.2,3201.7,2587.3,101.5,114.1,105.0,102.6,102.9,100.2,28572.0,25504.7,36292.3,26795.5,2994.7,2808.3,68024.3,51592.5
1996Q3,70632.4,54220.2,17992.9,89707.7,89619.4,105248.4,77363,23661.7,7273.5,3204.0,2596.0,104.4,105.1,102.0,102.1,102.1,109.3,30098.2,26573.3,37784.7,27855.4,2184.4,2703.3,71364.0,54903.1
1996Q4,73634.6,55334.1,22678.9,96934.9,92746.2,118029.6,79848,23667.4,9209.1,3218.7,2611.0,106.9,104.1,104.1,102.7,102.6,101.9,32776.3,29609.5,39167.7,28624.6,1892.2,1439.9,79419.8,58784.8
1997Q1,72820.7,55640.8,12841.4,86530.9,85644.8,111322.8,74270,23684.5,5233.8,3205.3,2604.7,95.2,88.3,105.0,104.9,101.7,98.5,33676.5,32033.1,43988.2,36205.1,3984.2,2593.7,79452.6,56298.4
1997Q2,73571.1,56631.5,18153.5,92567.1,91062.3,120791.3,77737,24285.4,7454.3,3190.3,2597.3,107.2,119.0,102.9,101.8,101.7,106.3,34395.4,32477.4,45853.3,39534.6,3578.4,3145.0,83924.8,64244.9
1997Q3,74718.2,57622.1,20945.5,96363.9,93126.1,127087.2,80829,25941.1,9467.6,3180.7,2594.3,102.5,104.5,101.5,102.3,102.4,101.3,36204.5,31639.6,47996.2,37333.7,3670.9,3877.0,86868.4,68664.0
1997Q4,76074.6,58067.4,31637.8,109133.5,103263.2,144931.7,88653,26906.1,11759.8,3182.0,2596.0,106.3,103.5,103.2,102.3,102.4,113.4,38944.0,34687.2,50872.7,38722.2,2504.4,1998.0,97956.0,73582.1
1998Q1,76899.3,59640.4,15091.4,92945.1,90667.9,132131.4,78183,25891.5,6742.5,3187.3,2608.0,95.0,84.9,105.6,102.4,101.5,99.6,40444.7,36172.2,56806.2,43852.4,3392.1,2855.3,94605.1,69524.2
1998Q2,77578.3,59179.9,20507.7,98972.7,95116.8,142148.9,81493,25340.4,9844.5,3179.3,2608.0,102.4,118.1,102.1,100.9,100.9,97.7,40598.2,35974.4,58502.3,46672.3,3014.0,3197.8,95160.2,75048.1
1998Q3,78911.9,60827.2,23233.4,102924.7,98197.8,148919.0,84192,26691.4,12259.6,3144.3,2595.0,100.5,101.5,99.8,101.0,101.1,97.5,42566.4,37492.9,61511.2,48884.4,2427.6,2969.0,95825.5,76624.0
1998Q4,76157.6,59256.8,36622.3,113972.7,107022.3,166162.0,92591,27023.9,14712.1,3116.0,2577.7,101.5,97.5,101.5,100.9,100.9,104.2,42705.3,38544.7,62931.4,47649.1,-1666.4,-788.1,102161.1,75734.0
1999Q1,81061.4,62772.1,16038.7,97475.2,91916.6,143526.1,78244,24458.6,6929.2,3078.3,2552.0,94.4,75.1,102.6,101.3,100.9,93.0,42583.4,38413.3,65837.7,50550.0,1440.1,783.3,94954.4,69279.6
1999Q2,82265.8,63208.3,21813.8,104969.7,98424.1,155671.2,84456,25340.9,10222.0,3031.0,2517.3,106.3,137.1,102.2,101.9,101.4,106.2,43183.0,38692.8,65704.6,52418.5,1881.7,2878.5,100900.7,79893.5
1999Q3,80685.3,62804.9,24460.5,106360.6,102277.5,164359.0,87384,28129.6,12781.0,2986.0,2485.3,104.7,107.8,100.9,101.6,101.7,102.0,44744.5,39709.4,70277.9,56223.7,510.1,1605.5,102427.1,82037.5
1999Q4,79321.1,62501.7,39630.4,119824.1,114417.9,188960.8,99245,30264.6,17782.8,2965.7,2472.0,108.8,102.9,103.2,102.5,102.6,109.9,46670.6,42401.2,73045.8,57038.1,-729.2,-273.9,121614.0,94188.9
2000Q1,84817.4,66108.3,16791.6,102882.5,97908.9,166983.0,82597,26753.3,7793.7,2799.7,2319.0,90.8,73.3,103.7,101.6,101.7,105.1,47714.9,43762.6,75681.7,59148.3,3203.5,1907.5,109383.5,82393.0
2000Q2,83506.8,64268.0,22404.1,107493.7,103271.8,180336.1,88462,27500.2,11030.0,2771.0,2298.0,106.5,135.9,102.0,102.1,101.8,103.8,49181.7,44898.2,79122.2,64711.3,2728.2,3044.9,119615.8,96921.5
2000Q3,82010.0,63869.3,25031.3,108200.8,104528.5,187089.3,89842,29738.3,13575.0,2739.7,2273.7,101.9,103.8,101.6,102.1,101.8,104.8,50510.2,45903.0,81874.1,66759.6,3248.8,3690.7,121301.0,98476.3
2000Q4,81073.9,63980.7,40499.0,122168.9,117408.9,209969.6,101192,31187.5,18825.6,2718.7,2258.0,104.7,99.3,101.7,100.9,100.7,111.6,51062.4,46700.4,81256.2,64721.0,-2218.9,-1656.1,127813.6,99454.0
2001Q1,85547.0,67067.4,17435.3,102028,99946.3,179169.1,84990,27783.4,7873.6,2668.0,2214.3,91.9,78.3,101.4,99.0,98.4,98.4,49713.2,45740.8,80398.4,63929.8,2152.4,1108.4,117438.3,87952.7
2001Q2,84751.4,65582.6,21021.2,106512.7,103887.7,191140.7,88878,27282.2,10463.5,2636.3,2189.3,101.4,122.3,101.8,100.1,99.5,98.6,49667.3,45371.9,78739.8,64871.6,1418.4,1349.8,116359.0,92933.7
2001Q3,83490.7,65526.5,21916.2,106528.2,105849.8,194062.7,91287,29445.1,12690.3,2595.3,2153.7,101.9,104.2,99.9,100.7,100.3,103.3,49956.4,45034.3,83671.2,67571.1,2332.0,2299.0,118485.4,94206.2
2001Q4,83342.3,65416.3,35187.4,118648.7,117735.6,215191.3,100922,30273.9,17523.1,2564.3,2117.7,103.8,96.0,100.6,99.5,99.2,103.9,49679.9,45080.6,82795.2,63617.0,-2691.4,-2774.2,129977.2,96023.7
2002Q1,87658.6,69371.2,15330.3,101855.8,100614.5,187640.4,86209,27445.4,6979.0,2490.7,2049.7,91.8,78.8,101.1,99.9,99.5,94.7,46418.3,42205.0,80868.5,62848.1,3592.5,1827.8,117550.9,86031.1
2002Q2,86377.9,67158.5,19454.5,107127.8,105566.5,198114.3,90300,26633.7,9470.0,2472.3,2034.7,101.9,126.7,100.4,100.7,100.7,103.8,46718.2,42045.4,82692.6,66542.4,1002.5,1434.5,116073.4,90314.7
2002Q3,86059.0,67912.3,20778.2,107991.7,107605.7,200319.3,91823,29493.4,12228.5,2456.7,2023.3,106.1,107.6,99.1,101.4,101.0,105.2,47423.1,42118.0,84896.5,68698.9,2108.9,2550.2,125680.7,99791.7
2002Q4,86214.0,67958.4,34412.1,120273.2,119488.5,222504.4,102405,31023.7,16662.1,2457.3,2026.7,104.6,101.1,100.4,100.1,99.8,106.8,48836.6,44181.2,85038.6,65916.4,-637.4,-442.7,135903,101942.6
2003Q1,88525.1,70214.9,14915.0,105012.7,103274.9,193842.5,88929,28986.3,5733.8,2415.7,1990.7,91.9,90.3,100.6,101.0,101.2,95.0,48100.6,44244.2,90925.4,70224.2,5553.2,2985.4,128484.2,93149.4
2003Q2,88683.3,69813.7,19379.8,109550.4,110429.7,207307.1,94060,28792.0,9021.6,2406.0,1986.0,107.0,113.1,100.4,99.9,100.0,109.8,48522.4,44266.0,90462.7,74227.3,5084.6,5012.2,133132.7,105659.0
2003Q3,88434.5,70202.0,21041.8,110772.1,111659.2,208268.4,94386,31388.5,12196.9,2406.0,1987.7,105.9,107.0,99.4,101.0,100.7,107.9,49898.4,45011.5,93858.9,77968.0,6299.0,6467.4,141548.1,114275.7
2003Q4,88991.6,70487.2,34482.2,123338.6,124538.8,233738.2,106555,34519.3,16552.5,2405.3,1989.0,107.7,104.9,101.1,101.4,101.3,109.2,51454.8,46916.4,95543.7,77739.2,5358.5,1348.2,157444.8,120211.5
2004Q1,91337.8,72931.9,15258.9,110891.4,111141.1,213035.6,94049,32942.8,5333.1,2397.7,1986.7,97.5,97.3,100.8,102.0,101.7,98.7,52413.4,48575.0,102996.1,84593.8,12410.4,8426.4,157444.8,120351.9
2004Q2,92004.4,72674.7,20019.6,115976.3,117419.9,224806.1,100273,32488.6,9047.8,2397.3,1991.7,104.6,109.1,102.0,104.1,104.4,101.4,55585.2,51267.7,101751.7,87521.6,15001.5,12397.3,167137.9,136937.9
2004Q3,91047.7,72712.8,22094.7,116718.2,116700.5,228044.8,98912,33774.9,12475.9,2398.7,1997.7,99.4,98.8,100.6,100.6,100.6,107.5,58971.8,53931.3,102204.9,87574.6,13460.9,11714.6,166782.6,137028.2
2004Q4,90216.0,71993.4,37238.6,127571.5,129123.9,258651.1,110361,36417.6,18549.1,2403.7,2004.7,104.7,102.7,100.9,99.7,99.7,104.0,60697.7,56058.2,98598.4,81823.6,10382.1,7669.7,175519.9,137897.3
2005Q1,93255.9,73952.9,15472.5,112111.2054,113586.2042,229395.8,96118,33239.3,6686.7,2420.7,2026.0,92.5,91.1,100.3,98.9,98.1,94.0,61458.4,57154.3,104820.0,87594.2,12514.5,7439.6,162028.7,123262.8
2005Q2,94396.5,73692.1,20820.4,115976.3,120825.0771,238094.5,103081,33333.3036,10855.8,2425.3,2033.3,106.3,110.2,100.6,100.9,100.9,111.5,61966.6,56758.3,104214.0,90093.3,11787.0,9452.9,168207.6,135915.3
2005Q3,93232.8,74385.2,23530.9,118935.8458,121251.8195,241759.8,102571.3292,35227.2,14329.3,2424.7,2038.3,101.5,101.7,99.8,100.2,100.1,99.4,64033.2,57980.8,104742.9,90047.0,11537.9,9485.4,172802.3,140895.4
2005Q4,93193.1,74009.2,40999.6986,134460.361,134676.2277,274052.2,114996.162,39258.2,20334.7,2433.3,2048.0,108.7,107.0,100.4,99.6,99.2,111.3,67389.5,61835.9,107796.0,89919.0,10098.3,6993.9,188378.6,148088.9
2006Q1,97480.0,77339.6,17219.9,119400.800568,120669.9000192,242784.9,105106.492068,38630.0,7063.0,2477.0,2082.0,95.6,94.9,99.1,99.9,99.1,100.5,64570.4,60227.9,111860.0,93317.8,12166.0,7064.0,182633.8,139078.7
2006Q2,98552.3,77494.3,24521.1,125132,125134.68631991,255497.1,106998.408925224,33801.3,11844.1,2485.0,2090.0,105.9,109.9,101.2,102.6,102.1,103.9,67509.6,61970.0,117660.3,102717.6,14937.3,11685.8,191686.8,156723.0
2006Q3,98453.7,78811.7,27806.9,128886,128137.918791588,261510.9,108710.383468028,37519.4,16374.6,2498.0,2104.0,101.7,102.0,100.2,101.4,101.3,100.1,72555.0,66115.6,121783.4,106324.2,15619.3,12052.2,200996.2,165958.2
2006Q4,97567.7,77629.5,47327.4,146414.496187579,144155.158640537,300238.5,122734,44648.1,24495.4,2516.0,2123.0,107.2,106.0,100.3,98.9,98.9,105.6,74469,68109.7,122218.2,104021.1,11633.3,7741.6,209502.7,168531.6
2007Q1,103226.580121223,82753.1,21202.7,128991.171141257,129018.86698328,270132.1,112792.567077636,41924.6,10076.3,2556.0,2165.0,97.9,97.7,100.7,100.5,100.3,100.2,75306.4,69619.2,128484.0,111115.2,16720.6,11552.2,208623.3,167141.7
2007Q2,103226.580121223,81511.8,29047.7,135440.72969832,133663.546194679,282921.9,114484.4555838,37857.8997190916,15448.5,2574.0,2184.0,101.7,103.8,101.2,101.3,101.2,101.7,79309.5,72950.7,131218.4,115647.5,18648.3,15144.6,215397.8,179657.8
2007Q3,102504.0,82326.9,32475.3,138285,135534.835841404,291058.5,114484.4555838,40318.7,19979.1,2584.0,2194.0,101.3,101.6,99.9,101.0,101.1,99.3,85818.3,79083.5,135809.3,119483.4,15781.9,13171.6,222701.3,186128.0
2007Q4,101376.45012571,80515.7,54558.5,156676.888029908,154645.247695042,332624.2,131084.701643451,49753.2,27955.3,2577.0,2140.0,108.7,105.9,101.6,99.4,99.5,108.2,88399.4,82256.9,135326.8,114992.9,13141.9,9784.3,235874,192144.2
2008Q1,107560.413583378,87601.0987603227,24387.6,137249,137015.689457807,298020.2,118631.654987323,44976.9,13552.0,2624.0,2180.0,96.8,97.1,101.5,101.1,100.2,100.6,88702.9,83302,141188.5,121003.3,17080.8,11236.5,229748.2,179162.9
2008Q2,107022.611515461,86024.3,33557.4,143425.156840338,141263.175830999,310511.5,120885.656432082,41153.9,20138.1,2629.0,2183.0,100.6,103.5,101.4,100.8,100.3,102.9,93540.7,86710.7,147567.6,129616.5,17700.1,13519.9,237702,193399.2
2008Q3,106808.56629243,86540.4,34027.2,144859.408408742,142534.544413478,314216.4,120885.656432082,41730.0,23842.4,2615.0,2167.0,96.9,96.9,100.2,100.5,100.2,97.2,98535.9,90728.5,147222.9,127773.9,13001.2,9776.4,240809,192457.8
2008Q4,107357.7,84863.6,59032.3,165137.4,162222.9,348986.0,137507.9,51693.6,29421.6,2623.0,2173.0,99.3,96.9,100.6,100.0,100.0,91.6,91959.7,83276.4,140000.1,114939.4,-4644.3,-6740,230919,177098.7
