country,code,year,GDPpC
Afghanistan,AFG,2011,1792
Afghanistan,AFG,2016,1929
Albania,ALB,2011,9484
Albania,ALB,2016,10342
Algeria,DZA,2011,13204
Algeria,DZA,2016,14331
Angola,AGO,2011,8016
Angola,AGO,2016,8453
Argentina,ARG,2011,20003
Argentina,ARG,2016,18875
Armenia,ARM,2011,8465
Armenia,ARM,2016,10080
Australia,AUS,2011,46132
Australia,AUS,2016,48845
Austria,AUT,2011,41446
Austria,AUT,2016,41445
Azerbaijan,AZE,2011,16176
Azerbaijan,AZE,2016,16645
Bahrain,BHR,2011,36372
Bahrain,BHR,2016,41078
Bangladesh,BGD,2011,2772
Bangladesh,BGD,2016,3604
Barbados,BRB,2011,11870
Barbados,BRB,2016,12003
Belarus,BLR,2011,17918
Belarus,BLR,2016,17628
Belgium,BEL,2011,38130
Belgium,BEL,2016,38766
Benin,BEN,2011,1836
Benin,BEN,2016,2080
Bolivia,BOL,2011,5331
Bolivia,BOL,2016,6355
Bosnia and Herzegovina,BIH,2011,8961
Bosnia and Herzegovina,BIH,2016,9746
Botswana,BWA,2011,13376
Botswana,BWA,2016,15198
Brazil,BRA,2011,14831
Brazil,BRA,2016,13873
Bulgaria,BGR,2011,15112
Bulgaria,BGR,2016,17037
Burkina Faso,BFA,2011,1344
Burkina Faso,BFA,2016,1483
Burundi,BDI,2011,719
Burundi,BDI,2016,665
Cambodia,KHM,2011,2496
Cambodia,KHM,2016,3251
Cameroon,CMR,2011,2494
Cameroon,CMR,2016,2828
Canada,CAN,2011,42197
Canada,CAN,2016,43745
Cape Verde,CPV,2011,6295
Cape Verde,CPV,2016,6418
Central African Republic,CAF,2011,909
Central African Republic,CAF,2016,589
Chad,TCD,2011,1661
Chad,TCD,2016,2189
Chile,CHL,2011,19705
Chile,CHL,2016,21696
China,CHN,2011,10221
China,CHN,2016,12569
Colombia,COL,2011,11788
Colombia,COL,2016,13326
Comoros,COM,2011,1479
Comoros,COM,2016,1702
Congo,COG,2011,5875
Congo,COG,2016,5974
Costa Rica,CRI,2011,12366
Costa Rica,CRI,2016,14098
Cote d'Ivoire,CIV,2011,2444
Cote d'Ivoire,CIV,2016,3395
Croatia,HRV,2011,19813
Croatia,HRV,2016,20376
Cuba,CUB,2011,6928
Cyprus,CYP,2011,27272
Cyprus,CYP,2016,25577
Czech Republic,CZE,2011,26725
Czech Republic,CZE,2016,28823
Czechoslovakia,OWID_CZS,2011,25289
Czechoslovakia,OWID_CZS,2016,27738
Democratic Republic of Congo,COD,2011,681
Democratic Republic of Congo,COD,2016,836
Denmark,DNK,2011,43575
Denmark,DNK,2016,44836
Djibouti,DJI,2011,2590
Djibouti,DJI,2016,3064
Dominica,DMA,2011,8944
Dominica,DMA,2016,9550
Dominican Republic,DOM,2011,11679
Dominican Republic,DOM,2016,14489
Ecuador,ECU,2011,9985
Ecuador,ECU,2016,10527
Egypt,EGY,2011,10737
Egypt,EGY,2016,11351
El Salvador,SLV,2011,7607
El Salvador,SLV,2016,8280
Equatorial Guinea,GNQ,2011,43841
Equatorial Guinea,GNQ,2016,33317
Estonia,EST,2011,21997
Estonia,EST,2016,24857
Ethiopia,ETH,2011,1199
Ethiopia,ETH,2016,1635
Finland,FIN,2011,38432
Finland,FIN,2016,37239
Former USSR,,2011,17391
Former USSR,,2016,18635
Former Yugoslavia,,2011,14540
Former Yugoslavia,,2016,15416
France,FRA,2011,36691
France,FRA,2016,37124
Gabon,GAB,2011,16403
Gabon,GAB,2016,18413
Gambia,GMB,2011,1669
Gambia,GMB,2016,1788
Georgia,GEO,2011,8946
Georgia,GEO,2016,10899
Germany,DEU,2011,43189
Germany,DEU,2016,44689
Ghana,GHA,2011,3283
Ghana,GHA,2016,3878
Greece,GRC,2011,24349
Greece,GRC,2016,22574
Guatemala,GTM,2011,6650
Guatemala,GTM,2016,7221
Guinea,GIN,2011,1347
Guinea,GIN,2016,1417
Guinea-Bissau,GNB,2011,1413
Guinea-Bissau,GNB,2016,1436
Haiti,HTI,2011,1648
Haiti,HTI,2016,1728
Honduras,HND,2011,4421
Honduras,HND,2016,4796
Hong Kong,HKG,2011,44532
Hong Kong,HKG,2016,48330
Hungary,HUN,2011,20886
Hungary,HUN,2016,23279
Iceland,ISL,2011,36740
Iceland,ISL,2016,42085
India,IND,2011,4768
India,IND,2016,6125
Indonesia,IDN,2011,8849
Indonesia,IDN,2016,10911
Iran,IRN,2011,18024
Iran,IRN,2016,16783
Iraq,IRQ,2011,11484
Iraq,IRQ,2016,13898
Ireland,IRL,2011,48980
Ireland,IRL,2016,56597
Israel,ISR,2011,29370
Israel,ISR,2016,31701
Italy,ITA,2011,35151
Italy,ITA,2016,33419
Jamaica,JAM,2011,7141
Jamaica,JAM,2016,7084
Japan,JPN,2011,34979
Japan,JPN,2016,37465
Jordan,JOR,2011,11615
Jordan,JOR,2016,11529
Kazakhstan,KAZ,2011,21302
Kazakhstan,KAZ,2016,23842
Kenya,KEN,2011,2712
Kenya,KEN,2016,3169
Kuwait,KWT,2011,77126
Kuwait,KWT,2016,71010
Kyrgyzstan,KGZ,2011,4142
Kyrgyzstan,KGZ,2016,4879
Laos,LAO,2011,4401
Laos,LAO,2016,5859
Latvia,LVA,2011,18428
Latvia,LVA,2016,22092
Lebanon,LBN,2011,16230
Lebanon,LBN,2016,12972
Lesotho,LSO,2011,2346
Lesotho,LSO,2016,2767
Liberia,LBR,2011,820
Liberia,LBR,2016,829
Libya,LBY,2011,12893
Libya,LBY,2016,8096
Lithuania,LTU,2011,20243
Lithuania,LTU,2016,24743
Luxembourg,LUX,2011,54031
Luxembourg,LUX,2016,57006
Macedonia,MKD,2011,11321
Macedonia,MKD,2016,12644
Madagascar,MDG,2011,1347
Madagascar,MDG,2016,1381
Malawi,MWI,2011,1102
Malawi,MWI,2016,1112
Malaysia,MYS,2011,19390
Malaysia,MYS,2016,23053
Mali,MLI,2011,1500
Mali,MLI,2016,1594
Malta,MLT,2011,23871
Malta,MLT,2016,29817
Mauritania,MRT,2011,3104
Mauritania,MRT,2016,3407
Mauritius,MUS,2011,16483
Mauritius,MUS,2016,18918
Mexico,MEX,2011,15210
Mexico,MEX,2016,16133
Moldova,MDA,2011,4892
Moldova,MDA,2016,6068
Mongolia,MNG,2011,9484
Mongolia,MNG,2016,12360
Montenegro,MNE,2011,15747
Montenegro,MNE,2016,17741
Morocco,MAR,2011,7226
Morocco,MAR,2016,8039
Mozambique,MOZ,2011,925
Mozambique,MOZ,2016,1113
Myanmar,MMR,2011,3884
Myanmar,MMR,2016,5284
Namibia,NAM,2011,8203
Namibia,NAM,2016,9376
Nepal,NPL,2011,2189
Nepal,NPL,2016,2435
Netherlands,NLD,2011,44591
Netherlands,NLD,2016,45600
New Zealand,NZL,2011,32057
New Zealand,NZL,2016,34295
Nicaragua,NIC,2011,4189
Nicaragua,NIC,2016,5045
Niger,NER,2011,799
Niger,NER,2016,925
Nigeria,NGA,2011,5136
Nigeria,NGA,2016,5360
North Korea,PRK,2011,1718
Norway,NOR,2011,80623
Norway,NOR,2016,82814
Oman,OMN,2011,44454
Oman,OMN,2016,38515
Pakistan,PAK,2011,4464
Pakistan,PAK,2016,5223
Palestine,PSE,2011,4863
Panama,PAN,2011,16762
Panama,PAN,2016,21449
Paraguay,PRY,2011,7377
Paraguay,PRY,2016,8786
Peru,PER,2011,10044
Peru,PER,2016,11776
Philippines,PHL,2011,5851
Philippines,PHL,2016,7410
Poland,POL,2011,21837
Poland,POL,2016,24838
Portugal,PRT,2011,25133
Portugal,PRT,2016,25346
Puerto Rico,PRI,2011,33981
Puerto Rico,PRI,2016,35082
Qatar,QAT,2011,155533
Qatar,QAT,2016,156299
Romania,ROU,2011,17174
Romania,ROU,2016,17782
Russia,RUS,2011,23130
Russia,RUS,2016,23635
Rwanda,RWA,2011,1449
Rwanda,RWA,2016,1758
Saint Lucia,LCA,2011,10255
Saint Lucia,LCA,2016,10233
Sao Tome and Principe,STP,2011,3179
Sao Tome and Principe,STP,2016,3624
Saudi Arabia,SAU,2011,48470
Saudi Arabia,SAU,2016,51397
Senegal,SEN,2011,2123
Senegal,SEN,2016,2403
Serbia,SRB,2011,12463
Serbia,SRB,2016,13184
Seychelles,SYC,2011,21545
Seychelles,SYC,2016,26624
Sierra Leone,SLE,2011,1479
Sierra Leone,SLE,2016,1619
Singapore,SGP,2011,61672
Singapore,SGP,2016,65729
Slovakia,SVK,2011,22483
Slovakia,SVK,2016,25364
Slovenia,SVN,2011,26004
Slovenia,SVN,2016,26908
South Africa,ZAF,2011,11838
South Africa,ZAF,2016,12139
South Korea,KOR,2011,32225
South Korea,KOR,2016,36103
Spain,ESP,2011,31600
Spain,ESP,2016,30110
Sri Lanka,LKA,2011,8918
Sri Lanka,LKA,2016,11149
Sudan,SDN,2011,3669
Sudan,SDN,2016,3651
Swaziland,SWZ,2011,7389
Swaziland,SWZ,2016,7881
Sweden,SWE,2011,42079
Sweden,SWE,2016,44659
Switzerland,CHE,2011,58686
Switzerland,CHE,2016,59662
Syria,SYR,2011,5979
Syria,SYR,2016,3091
Taiwan,TWN,2011,38565
Taiwan,TWN,2016,42165
Tajikistan,TJK,2011,3111
Tajikistan,TJK,2016,3991
Tanzania,TZA,2011,2227
Tanzania,TZA,2016,2660
Thailand,THA,2011,13318
Thailand,THA,2016,15454
Togo,TGO,2011,1227
Togo,TGO,2016,1400
Trinidad and Tobago,TTO,2011,29745
Trinidad and Tobago,TTO,2016,29178
Tunisia,TUN,2011,10437
Tunisia,TUN,2016,11073
Turkey,TUR,2011,17919
Turkey,TUR,2016,17906
Turkmenistan,TKM,2011,16518
Turkmenistan,TKM,2016,23813
Uganda,UGA,2011,1890
Uganda,UGA,2016,1980
Ukraine,UKR,2011,10333
Ukraine,UKR,2016,9214
United Arab Emirates,ARE,2011,65307
United Arab Emirates,ARE,2016,75876
United Kingdom,GBR,2011,34971
United Kingdom,GBR,2016,37334
United States,USA,2011,49675
United States,USA,2016,53015
Uruguay,URY,2011,17211
Uruguay,URY,2016,19468
Uzbekistan,UZB,2011,7396
Uzbekistan,UZB,2016,10381
Venezuela,VEN,2011,17746
Venezuela,VEN,2016,15219
Vietnam,VNM,2011,4786
Vietnam,VNM,2016,6062
Yemen,YEM,2011,4088
Yemen,YEM,2016,2506
Zambia,ZMB,2011,3205
Zambia,ZMB,2016,3479
Zimbabwe,ZWE,2011,1515
Zimbabwe,ZWE,2016,1534
